locality,date,value,year,month,variable
Yapsiei,1973-02-01,21.92,1973,2,tmin
Elem,1973-03-01,21.740000000000002,1973,3,tmin
Morox,1973-03-01,21.35,1973,3,tmin
Niksek,1973-03-01,21.000000000000004,1973,3,tmin
Ohu,1973-03-01,21.270000000000003,1973,3,tmin
Utai,1973-03-01,21.53,1973,3,tmin
Wamangu,1973-03-01,21.430000000000003,1973,3,tmin
Wanang,1973-03-01,21.35,1973,3,tmin
Yapsiei,1973-03-01,21.990000000000002,1973,3,tmin
Elem,1973-04-01,21.610000000000003,1973,4,tmin
Morox,1973-04-01,21.340000000000003,1973,4,tmin
Niksek,1973-04-01,21.220000000000002,1973,4,tmin
Ohu,1973-04-01,21.12,1973,4,tmin
Utai,1973-04-01,21.110000000000003,1973,4,tmin
Wamangu,1973-04-01,20.970000000000002,1973,4,tmin
Wanang,1973-04-01,20.390000000000004,1973,4,tmin
Yapsiei,1973-04-01,20.790000000000003,1973,4,tmin
Elem,1973-05-01,21.21,1973,5,tmin
Morox,1973-05-01,21.150000000000002,1973,5,tmin
Niksek,1973-05-01,20.85,1973,5,tmin
Ohu,1973-05-01,21.17,1973,5,tmin
Utai,1973-05-01,22.17,1973,5,tmin
Wamangu,1973-05-01,22.21,1973,5,tmin
Wanang,1973-05-01,22.020000000000003,1973,5,tmin
Yapsiei,1973-05-01,22.140000000000004,1973,5,tmin
Elem,1973-06-01,21.400000000000002,1973,6,tmin
Morox,1973-06-01,21.200000000000003,1973,6,tmin
Niksek,1973-06-01,20.770000000000003,1973,6,tmin
Ohu,1973-06-01,20.950000000000003,1973,6,tmin
Utai,1973-06-01,21.51,1973,6,tmin
Wamangu,1973-06-01,21.320000000000004,1973,6,tmin
Wanang,1973-06-01,21.450000000000003,1973,6,tmin
Yapsiei,1973-06-01,22.130000000000003,1973,6,tmin
Elem,1973-07-01,22.660000000000004,1973,7,tmin
Morox,1973-07-01,22.380000000000003,1973,7,tmin
Niksek,1973-07-01,22.240000000000002,1973,7,tmin
Ohu,1973-07-01,22.17,1973,7,tmin
Utai,1973-07-01,21.970000000000002,1973,7,tmin
Wamangu,1973-07-01,21.540000000000003,1973,7,tmin
Wanang,1973-07-01,21.400000000000002,1973,7,tmin
Yapsiei,1973-07-01,21.51,1973,7,tmin
Elem,1973-08-01,21.980000000000004,1973,8,tmin
Morox,1973-08-01,21.85,1973,8,tmin
Niksek,1973-08-01,21.720000000000002,1973,8,tmin
Ohu,1973-08-01,22.270000000000003,1973,8,tmin
Utai,1973-08-01,22.640000000000004,1973,8,tmin
Wamangu,1973-08-01,22.35,1973,8,tmin
Wanang,1973-08-01,22.17,1973,8,tmin
Yapsiei,1973-08-01,22.220000000000002,1973,8,tmin
Elem,1973-09-01,22.020000000000003,1973,9,tmin
Morox,1973-09-01,21.590000000000003,1973,9,tmin
Niksek,1973-09-01,21.28,1973,9,tmin
Ohu,1973-09-01,21.46,1973,9,tmin
Utai,1973-09-01,21.860000000000003,1973,9,tmin
Wamangu,1973-09-01,21.750000000000004,1973,9,tmin
